pubchem,metabs_sorted
Metab__3845,18
Metab__CE2434,18
Metab__147043,18
Metab__CE5114,18
Metab__CE2439,18
Metab__CE4803,18
Metab__CE4796,18
Metab__CE4804,18
Metab__53481507,18
Metab__1437,18
Metab__pe224_hs,18
Metab__pe14_hs,18
Metab__pe17_hs,18
Metab__pe203_hs,18
Metab__pe2linl_hs,18
Metab__802,18
Metab__M00234,18
Metab__tacr,18
Metab__3hibup_S,18
Metab__tripvs,18
Metab__M01807,18
Metab__53477676,17
Metab__121988,17
Metab__pglyc_hs,17
Metab__dmnoncoa,17
Metab__93556,17
Metab__fucgalfucgalacglcgalgluside_hs,17
Metab__3382778,17
Metab__91451,17
Metab__gm1b_hs,17
Metab__129803,17
Metab__73323,17
Metab__440603,17
Metab__1826,17
Metab__CE4793,17
Metab__5280876,17
Metab__53481608,17
Metab__53481563,17
Metab__439607,17
Metab__5280453,17
Metab__4ohmdz,17
Metab__1ohmdz,17
Metab__mdz,17
Metab__2hibup_S,17
Metab__56dhpvs,17
Metab__56eppvs,17
Metab__6bhglz,17
Metab__7hpvs,17
Metab__am1csa,17
Metab__dspvs,17
Metab__lst4exp,17
Metab__pvsgluc,17
Metab__smvacid,17
Metab__M00503,17
Metab__439434,16
Metab__70,16
Metab__1112,16
Metab__22253,16
Metab__439855,16
Metab__800,16
Metab__440420,16
Metab__thcrm_hs,16
Metab__778,16
Metab__649,16
Metab__439488,16
Metab__53477823,16
Metab__fuc13galacglcgal14acglcgalgluside_hs,16
Metab__tag_hs,16
Metab__6912,16
Metab__27284,16
Metab__2724333,16
Metab__439252,16
Metab__pheme,16
Metab__449,16
Metab__440849,16
Metab__6238,16
Metab__5880,16
Metab__644160,16
Metab__65533,16
Metab__5280765,16
Metab__64959,16
Metab__72222,16
Metab__25229571,16
Metab__CE0849,16
Metab__CE2442,16
Metab__53481425,16
Metab__CE5144,16
Metab__CE5152,16
Metab__16019966,16
Metab__c6dc,16
Metab__c10dc,16
Metab__c12dc,16
Metab__c4dc,16
Metab__6426853,16
Metab__c8dc,16
Metab__439337,16
Metab__3mhis,16
Metab__pchol2palm_hs,16
Metab__pcholn261_hs,16
Metab__pcholn28_hs,16
Metab__pcholn281_hs,16
Metab__7klitchol,16
Metab__15103,16
Metab__HC02050,16
Metab__HC02076,16
Metab__3hpvscoa,16
Metab__7bhglz,16
Metab__allop,16
Metab__am9csa,16
Metab__am1ccs,16
Metab__mhglz,16
Metab__crvsm1,16
Metab__crvsm24,16
Metab__lvstacid,16
Metab__3hpvstetcoa,16
Metab__5460448,15
Metab__6047,15
Metab__5816,15
Metab__74688,15
Metab__190,15
Metab__12ppd_S,15
Metab__glygn2,15
Metab__278,15
Metab__446220,15
Metab__9548602,15
Metab__1103,15
Metab__9947823,15
Metab__5280497,15
Metab__222786,15
Metab__160645,15
Metab__938,15
Metab__967,15
Metab__46173488,15
Metab__20845972,15
Metab__6180,15
Metab__CE2440,15
Metab__sbcoa,15
Metab__439190,15
Metab__C05770,15
Metab__egme,15
Metab__HC02051,15
Metab__ca24g,15
Metab__13dmt,15
Metab__31dmt,15
Metab__15dmt,15
Metab__3hibup_R,15
Metab__acmpglut,15
Metab__am19cs,15
Metab__crvsm23,15
Metab__ibupgluc,15
Metab__10fthf5glu,14
Metab__10fthf6glu,14
Metab__440113,14
Metab__5thf,14
Metab__Rtotal3coa,14
Metab__75,14
Metab__cdpdag_hs,14
Metab__1879,14
Metab__core5,14
Metab__core7,14
Metab__core8,14
Metab__gpi_sig,14
Metab__647,14
Metab__1135,14
Metab__fuc14galacglcgalgluside_hs,14
Metab__fucacgalfucgalacglcgalgluside_hs,14
Metab__fucacngal14acglcgalgluside_hs,14
Metab__145068,14
Metab__5280382,14
Metab__440985,14
Metab__8704,14
Metab__890,14
Metab__ppmi12346p,14
Metab__160556,14
Metab__118,14
Metab__122357,14
Metab__HC01412,14
Metab__205449,14
Metab__656745,14
Metab__105061,14
Metab__439702,14
Metab__107564,14
Metab__malthp,14
Metab__65076,14
Metab__5280888,14
Metab__CE2438,14
Metab__CE5120,14
Metab__CE4792,14
Metab__CE4799,14
Metab__CE4807,14
Metab__9543333,14
Metab__sebcoa,14
Metab__12736,14
Metab__hexdicoa,14
Metab__10459,14
Metab__6453659,14
Metab__1670,14
Metab__pailar_hs,14
Metab__pailpalm_hs,14
Metab__33037,14
Metab__M00887,14
Metab__M00873,14
Metab__M00843,14
Metab__12htacr,14
Metab__14hmdz,14
Metab__1513tacr,14
Metab__1hibup_S,14
Metab__2hibup_R,14
Metab__5ohfvs,14
Metab__6hlvst,14
Metab__6melvst,14
Metab__am1acs,14
Metab__am1alcs,14
Metab__am1c9cs,14
Metab__am4ncs,14
Metab__am4n9cs,14
Metab__caribup_s,14
Metab__deoxfvs,14
